Item,Job_Title,Company_Name,Location,Url
46,Pusula Talent Academy ile Geleceğine Yön Ver!,Pusula Kurumsal İş Çözümleri,"Maltepe, Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/pusula-talent-academy-ile-gelece%C4%9Fine-y%C3%B6n-ver%21-at-pusula-kurumsal-i%CC%87%C5%9F-%C3%A7%C3%B6z%C3%BCmleri-4277536784?position=46&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=o1ynfBHumJj%2Fooa4hok%2F%2FA%3D%3D
47,Full Stack Developer,Modanisa,Türkiye,https://tr.linkedin.com/jobs/view/full-stack-developer-at-modanisa-4278585001?position=47&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=KFI8CL%2B%2B9m4OtmLGcvLctQ%3D%3D
48,Software Engineer,Vodafone,Greater Istanbul,https://tr.linkedin.com/jobs/view/software-engineer-at-vodafone-4291134756?position=48&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=8PIUG6SvRu64%2BFi5OukejA%3D%3D
49,Software Developer,Otokoç Otomotiv,"Maltepe, Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/software-developer-at-otoko%C3%A7-otomotiv-4146318755?position=49&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=uvY%2FyFLnWp834pO0WGGGPQ%3D%3D
50,Software Engineer (Full-stack),kapa.ai,Türkiye,https://tr.linkedin.com/jobs/view/software-engineer-full-stack-at-kapa-ai-4231620551?position=50&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=iB5AfbKup2ZwIq%2FQJo9FPw%3D%3D
51,Yazılım Geliştirme Uzmanı,Tat Gıda,"Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/yaz%C4%B1l%C4%B1m-geli%C5%9Ftirme-uzman%C4%B1-at-tat-g%C4%B1da-4285024266?position=51&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=Oj1rWEwHtuiUSXIrq2rMzA%3D%3D
52,Backend Developer,TurkNet,"Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/backend-developer-at-turknet-4280930084?position=52&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=wzNusPEC3UVxSvbSJNbhTQ%3D%3D
53,Junior Frontend Developer (React / TypeScript) | Asparel Tasarım Yazılım,Teknopark İzmir,"İzmir, İzmir, Türkiye",https://tr.linkedin.com/jobs/view/junior-frontend-developer-react-typescript-asparel-tasar%C4%B1m-yaz%C4%B1l%C4%B1m-at-teknopark-i%CC%87zmir-4273760540?position=53&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=IL%2BT6%2BP%2FsH09RLgkNC1H6w%3D%3D
54,Yazılım Uzmanı,Dgpays,Greater Istanbul,https://tr.linkedin.com/jobs/view/yaz%C4%B1l%C4%B1m-uzman%C4%B1-at-dgpays-4287117446?position=54&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=a6%2Bm3IZ248Z3IoDerJaeUg%3D%3D
55,"Software Engineer, Games",Peak,"Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/software-engineer-games-at-peak-4148972165?position=55&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=CzxjxLAvU%2F%2FyFAH%2FiwkHIA%3D%3D
56,Software Developer (IoT) R&D,TDG Türkiye,"Sakarya, Sakarya, Türkiye",https://tr.linkedin.com/jobs/view/software-developer-iot-r-d-at-tdg-t%C3%BCrkiye-4199352318?position=56&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=8aUXmJUeKhmmGYoSDwDbQQ%3D%3D
